Target,Group,Ring,Channel
thermal,1,3,1
thermal,1,135,1
NegCntl,2,5,1
NegCntl,2,6,1
NegCntl,2,7,1
NegCntl,2,8,1
NegCntl,3,9,2
NegCntl,3,10,2
NegCntl,3,11,2
NegCntl,3,12,2
PosCtnl,4,13,1
PosCtnl,4,14,1
PosCtnl,4,15,1
PosCtnl,4,16,1
PosCtnl,5,17,2
PosCtnl,5,18,2
PosCtnl,5,19,2
PosCtnl,5,20,2
CCL4,6,21,1
CCL4,6,22,1
CCL4,6,23,1
CCL4,6,24,1
CCL4,7,25,2
CCL4,7,26,2
CCL4,7,27,2
CCL4,7,28,2
CCL3,8,29,1
CCL3,8,30,1
CCL3,8,31,1
CCL3,8,32,1
CCL3,9,33,2
CCL3,9,34,2
CCL3,9,35,2
CCL3,9,36,2
CCL2,10,37,1
CCL2,10,38,1
CCL2,10,39,1
CCL2,10,40,1
CCL2,11,41,2
CCL2,11,42,2
CCL2,11,43,2
CCL2,11,44,2
CCL8,12,45,1
CCL8,12,46,1
CCL8,12,47,1
CCL8,12,48,1
CCL8,13,49,2
CCL8,13,50,2
CCL8,13,51,2
CCL8,13,52,2
IL10,14,53,1
IL10,14,54,1
IL10,14,55,1
IL10,14,56,1
IL10,15,57,2
IL10,15,58,2
IL10,15,59,2
IL10,15,60,2
IL-1B,16,61,1
IL-1B,16,62,1
IL-1B,16,63,1
IL-1B,16,64,1
IL-1B,17,65,2
IL-1B,17,66,2
IL-1B,17,67,2
IL-1B,17,68,2
IL6,18,69,1
IL6,18,70,1
IL6,18,71,1
IL6,18,72,1
IL6,19,73,2
IL6,19,74,2
IL6,19,75,2
IL6,19,76,2
TNFa,20,77,1
TNFa,20,78,1
TNFa,20,79,1
TNFa,20,80,1
TNFa,21,81,2
TNFa,21,82,2
TNFa,21,83,2
TNFa,21,84,2
IL15,22,85,1
IL15,22,86,1
IL15,22,87,1
IL15,22,88,1
IL15,23,89,2
IL15,23,90,2
IL15,23,91,2
IL15,23,92,2
IP10,24,93,1
IP10,24,94,1
IP10,24,95,1
IP10,24,96,1
IP10,25,97,2
IP10,25,98,2
IP10,25,99,2
IP10,25,100,2
IL2,26,101,1
IL2,26,102,1
IL2,26,103,1
IL2,26,104,1
IL2,27,105,2
IL2,27,106,2
IL2,27,107,2
IL2,27,108,2
IFNg,28,109,1
IFNg,28,110,1
IFNg,28,111,1
IFNg,28,112,1
IFNg,29,113,2
IFNg,29,114,2
IFNg,29,115,2
IFNg,29,116,2
IL17,30,117,1
IL17,30,118,1
IL17,30,119,1
IL17,30,120,1
IL17,31,121,2
IL17,31,122,2
IL17,31,123,2
IL17,31,124,2
IL23,32,125,1
IL23,32,126,1
IL23,32,127,1
IL23,32,128,1
IL23,33,129,2
IL23,33,130,2
IL23,33,131,2
IL23,33,132,2
thermal,34,4,2
thermal,34,136,2
